;Название вакансии;Название компании;Город;Зарплата;Опыт работы;Описание;Требования;Тип занятости;Ключевые навыки;Источник
39;Data Engineer в команду Сеть Продаж;СБЕР;Москва;Договорная;3–6 лет;В поиске Data Engineer`а в команду Data Science Блока «Сеть Продаж». Мы разрабатываем и внедряем end-to-end решения на основе машинного обучения в бизнес-процессы банка, связанные с обслуживанием клиентов в отделениях Сбера. Задачи: Требования: Условия:;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hadoop</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SCALA</span></div></div>";https://rabota1000.ru/vacancy/48018330
40;Data engineer (middle-senior);Heaad;Москва;80 000 – 200 000 руб.;1–3 года;"Ищем Data engineer в крупную консалтинговую компанию, специализирующуюся на бизнес-аналитике (BI), расширенной аналитике данных (Advanced Analytics) и архитектуре данных для бизнес-аналитики в сфере FMCG. Обязанности: Участие в полном цикле разработки BI-решений; Проектирование и разработка архитектуры баз данных, структур данных, таблиц, словарей; Разработка процессов с использованием средств ETL Informatica Power Center, SQL Server Integration. Services: Разработка БД [DB2, Oracle, MSSQL]: общая архитектура, представления, процедуры; Знание платформы Microstrategy BI. Понимание архитектуры платформы. Навыки создания моделей в Architect, разработки отчетов в Web, Developer; Опыт создания сложных корпоративных отчетов: вложенные, с drill down, с вычисляемыми метриками. Требования: Экспертное знание SQL; Экспертное знание Excel [Pivot tables, VLookUp, SUM, SUMIF, макросы]; Умение находить необходимую информацию; Английский язык (уверенный разговорный); Высшее техническое образование обязательно. Желателен опыт работы с: Условия: Официальное трудоустройство в соответствии с ТК РФ; Социальный пакет (отпускные, больничные); Возможность удаленной работы; Конкурентная заработная плата; Работа с крупнейшими компаниями Европы; Постоянная практика английского языка;";Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ETL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS SQL Server</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">DB2</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ORACLE</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Microstrategy BI</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Architect</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS Excel</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Informatica Power Center</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">IBM Data Stage</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Oracle Database</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Integrator</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SSIS</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Power BI</span></div></div>";https://rabota1000.ru/vacancy/120226994
41;Data Engineer;ALP GROUP;Калининград;Договорная;более 6 лет;Кто мы ALP Group — сервисная ИТ-компания с опытом работы более 26 лет и проектами в 700+ городах. Мы занимаемся ИТ-аутсорсингом, создаем и обслуживаем отказоустойчивые инфраструктуры и проводим ИТ-аудиты. За это время мы заслужили доверие сотен клиентов и продолжаем расти — в среднем на 15% в год. Наши клиенты — российские и международные компании, торговые сети и госучреждения. Среди них KFC, Abbott Laboratories, Fischer Sports, Sunlight, Zenden, «Инвитро», «Красногорск лексредства» и многие другие. В нашей команде 130 человек — здесь у каждого есть реальная возможность вырасти: 90% наших старших и ведущих специалистов приходили на «обычные» должности. В среднем у нас работают более 5 лет — нам нравится, когда люди развиваются вместе с компанией.   И сейчас мы в поиске DE на проект Дата Платформы. Чем предстоит заниматься: Требования: Будет плюсом:     Что мы предлагаем;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/122439365
42;Data Engineer;ALP GROUP;Самара;Договорная;более 6 лет;Кто мы ALP Group — сервисная ИТ-компания с опытом работы более 26 лет и проектами в 700+ городах. Мы занимаемся ИТ-аутсорсингом, создаем и обслуживаем отказоустойчивые инфраструктуры и проводим ИТ-аудиты. За это время мы заслужили доверие сотен клиентов и продолжаем расти — в среднем на 15% в год. Наши клиенты — российские и международные компании, торговые сети и госучреждения. Среди них KFC, Abbott Laboratories, Fischer Sports, Sunlight, Zenden, «Инвитро», «Красногорск лексредства» и многие другие. В нашей команде 130 человек — здесь у каждого есть реальная возможность вырасти: 90% наших старших и ведущих специалистов приходили на «обычные» должности. В среднем у нас работают более 5 лет — нам нравится, когда люди развиваются вместе с компанией.   И сейчас мы в поиске DE на проект Дата Платформы. Чем предстоит заниматься: Требования: Будет плюсом:     Что мы предлагаем;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/122439362
43;Data Engineer;ALP GROUP;Краснодар;Договорная;более 6 лет;Кто мы ALP Group — сервисная ИТ-компания с опытом работы более 26 лет и проектами в 700+ городах. Мы занимаемся ИТ-аутсорсингом, создаем и обслуживаем отказоустойчивые инфраструктуры и проводим ИТ-аудиты. За это время мы заслужили доверие сотен клиентов и продолжаем расти — в среднем на 15% в год. Наши клиенты — российские и международные компании, торговые сети и госучреждения. Среди них KFC, Abbott Laboratories, Fischer Sports, Sunlight, Zenden, «Инвитро», «Красногорск лексредства» и многие другие. В нашей команде 130 человек — здесь у каждого есть реальная возможность вырасти: 90% наших старших и ведущих специалистов приходили на «обычные» должности. В среднем у нас работают более 5 лет — нам нравится, когда люди развиваются вместе с компанией.   И сейчас мы в поиске DE на проект Дата Платформы. Чем предстоит заниматься: Требования: Будет плюсом:     Что мы предлагаем;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/122439370
44;Data Engineer;ALP GROUP;Сочи;Договорная;более 6 лет;Кто мы ALP Group — сервисная ИТ-компания с опытом работы более 26 лет и проектами в 700+ городах. Мы занимаемся ИТ-аутсорсингом, создаем и обслуживаем отказоустойчивые инфраструктуры и проводим ИТ-аудиты. За это время мы заслужили доверие сотен клиентов и продолжаем расти — в среднем на 15% в год. Наши клиенты — российские и международные компании, торговые сети и госучреждения. Среди них KFC, Abbott Laboratories, Fischer Sports, Sunlight, Zenden, «Инвитро», «Красногорск лексредства» и многие другие. В нашей команде 130 человек — здесь у каждого есть реальная возможность вырасти: 90% наших старших и ведущих специалистов приходили на «обычные» должности. В среднем у нас работают более 5 лет — нам нравится, когда люди развиваются вместе с компанией.   И сейчас мы в поиске DE на проект Дата Платформы. Чем предстоит заниматься: Требования: Будет плюсом:     Что мы предлагаем;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/122439378
45;Data Engineer;ALP GROUP;Москва;Договорная;более 6 лет;Кто мы ALP Group — сервисная ИТ-компания с опытом работы более 26 лет и проектами в 700+ городах. Мы занимаемся ИТ-аутсорсингом, создаем и обслуживаем отказоустойчивые инфраструктуры и проводим ИТ-аудиты. За это время мы заслужили доверие сотен клиентов и продолжаем расти — в среднем на 15% в год. Наши клиенты — российские и международные компании, торговые сети и госучреждения. Среди них KFC, Abbott Laboratories, Fischer Sports, Sunlight, Zenden, «Инвитро», «Красногорск лексредства» и многие другие. В нашей команде 130 человек — здесь у каждого есть реальная возможность вырасти: 90% наших старших и ведущих специалистов приходили на «обычные» должности. В среднем у нас работают более 5 лет — нам нравится, когда люди развиваются вместе с компанией.   И сейчас мы в поиске DE на проект Дата Платформы. Чем предстоит заниматься: Требования: Будет плюсом:     Что мы предлагаем;Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/117033777
46;Data Engineer;СБЕР;Москва;Договорная;3–6 лет;"Наша команда Data-инженеров занимается созданием и развитием аналитической платформы для решения широкого спектра задач в рамках клиенткой аналитики. Если тебе интересны необычные проекты, классная команда профессионалов, то будем рады видеть в нашей команде :) Обязанности ⎯ Проектирование и разработка аналитических витрин данных для на базе СУБД Greenplum и вывод в промышленную эксплуатацию ⎯ Реализация потоков поставки данных для потребителей ⎯ Разработка ETL-процессов по преобразованию и загрузке данных ⎯ Мониторинг и оптимизация процессов загрузки, преобразования данных и сборки витрин ⎯ Создание инструментов для автоматизации рутинных задач, связанных с обработкой данных ⎯ Разработка и внедрение инструментов для расширения возможностей платформы Greenplum Требования ⎯ Опыт работы не менее 2 лет в качестве Data Engineer / Data Analyst / ETL Developer ⎯ Опыт работы с linux-системами ⎯ Знание SQL на экспертном уровне (аналитические функции, подзапросы, хранимые процедуры, оптимизация запросов) ⎯ Знание архитектуры МРР СУБД (Greenplum, Teradata, Exadata), опыт практической работы c MPP СУБД ⎯ Опыт разработки ETL-процессов, построения хранилищ и витрин данных Будет плюсом: ⎯ Опыт практической работы с СУБД Greenplum ⎯ Знание Python/Java/Scala ⎯ Опыт работы с Informatica Power Center Условия Команда профессионалов, готовых поддержать ваши инициативы Мощное железо, дополнительные мониторы и все, что нужно для продуктивной работы Обучение за счет компании Офис класса А ДМС Прозрачная система бонусов и премий, достойная зарплата – размер обсудим на собеседовании 
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						";Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/122185019
47;Data Engineer;Медиа Бизнес Солюшенс;Москва;Договорная;1–3 года;«Форт Боярд» и «Кухня», мелодрамы Домашнего и «Воронины», «Дылды» и «Женский доктор», «Ивановы-Ивановы» и «Решала», «Сердца за любовь» и «Шоу Вовы и Насти», «Три кота» и «Царевны» — вот лишь часть проектов, созданных нашей большой командой. Сейчас мы активно развиваем digital направление и для этого нам нужен сильный лидер, который его возглавит. Цифровые продукты холдинга, это: сайты, приложения для мобильных телефонов и smart TV с совокупной месячной аудиторией 5 млн. пользователей. Основная задача департамента аналитики - делать бизнес эффективнее. Мы принимаем все продуктовые решения, опираясь на анализ данных, эксперименты и моделирование. Ищем Data Engineer, который станет частью команды DWH. Вам предстоит: У нас вот такой стек: Мы ожидаем, что Вы: Будет плюсом, если Вы: Условия:    ;Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/116255285
48;Инженер данных (Data Engineer);Yakov & Partners;Москва;Договорная;3–6 лет;Компания «Яков и Партнёры» ищет инженера данных (Data Engineer) в команду Digital Hub.   Обязанности   Требуемые навыки и компетенции   Будет плюсом   Что мы предлагаем;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Chroma</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Milvus</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PostgreSQL</span></div></div>";https://rabota1000.ru/vacancy/120388009
